name,region,tags,thumb,url,idx
"결혼하는 날 웨딩홀(구,월드웨딩홀)",경기 평택시,결혼하는날웨딩홀|평택추천웨딩홀|평택웨딩홀|웨딩홀추천|컨벤션웨딩홀|결혼준비,"https://weddingcrowd.kr/data/hall/2406/20210422134829_결혼하는 날 웨딩홀-구,월드웨딩홀.jpg",https://weddingcrowd.kr/hall/view.php?idx=150,150
경기교총웨딩하우스,경기도 수원시,경기교총웨딩하우스|유로피안웨딩홀|수원인기웨딩홀|수원웨딩홀|팔달구웨딩홀|특별한웨딩홀|천고가높은웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2512/20251211122146_553299_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=229,229
경민컨벤션웨딩홀,경기 의정부시,경민컨벤션웨딩홀|의정부인기웨딩홀|컨벤션웨딩홀|천고가높은웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422180218_경민.jpg,https://weddingcrowd.kr/hall/view.php?idx=972,972
경복궁웨딩컨벤션,충남 공주시,,https://weddingcrowd.kr/data/hall/2408/20240814043309_988972_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=632,632
계룡스파텔,대전 유성구,,https://weddingcrowd.kr/data/hall/2408/20240812034836_480100_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1080,1080
"고려플라자(구, 고려대학교 교우회관웨딩홀)",서울 성북구,고려플라자|고려대학교웨딩홀|성북구웨딩홀|서울웨딩홀|단독웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210423164132_고려.jpg,https://weddingcrowd.kr/hall/view.php?idx=401,401
고창 컨벤션웨딩홀르네상스,전북 고창군,,https://weddingcrowd.kr/data/hall/2406/20221014165544_1.jpg,https://weddingcrowd.kr/hall/view.php?idx=1009,1009
곤자가컨벤션,서울특별시 마포구,,,https://weddingcrowd.kr/hall/view.php?idx=199,199
공군호텔(공군회관 웨딩홀),서울특별시 영등포구,,https://weddingcrowd.kr/data/hall/2408/20240812035939_581199_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=174,174
관세비스타,경기 고양시,,https://weddingcrowd.kr/data/hall/2408/20240820045705_443135_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1700,1700
광명퀸컨벤션웨딩홀,경기 광명시,W컨벤션웨딩광명|광명추천웨딩홀|컨벤션웨딩홀|단독웨딩홀|천고가높은웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20220822175725_광명.jpg,https://weddingcrowd.kr/hall/view.php?idx=95,95
국방컨벤션,서울특별시 용산구,,https://weddingcrowd.kr/data/hall/2408/20240812041126_706855_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=2,2
규수당 (문래점),서울특별시 영등포구,,https://weddingcrowd.kr/data/hall/2408/20240812042233_915358_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=571,571
그래머시 코엑스,서울특별시 강남구,그래머시코엑스|강남구웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422141605_90.jpg,https://weddingcrowd.kr/hall/view.php?idx=598,598
